,Na_i[mM],NHE_flux[uM/ms],Ca_i_diast[uM],Ca_i_max[uM],Ca_i_ampl[uM],T_max[kPa],mean_pH_i[-]
HF_NHE2,16.9044,1.42254e-07,0.123282,1.47381,1.35053,34.4797,7.13447
HF_NHE3,16.9354,1.46156e-07,0.122568,1.47363,1.35106,34.6716,7.14054
HF_NHE5,16.9636,1.49516e-07,0.121979,1.47358,1.3516,34.8428,7.14569
HF_NHE10,16.987,1.52195e-07,0.121531,1.4737,1.35217,34.9875,7.14972
HF_NHE20,16.9996,1.53579e-07,0.121302,1.47372,1.35242,35.0622,7.1518
